,Address,City,Beds,Beds_Min,Beds_Max,Baths,Bath_Min,Bath_Max,List_Price,Price_Min,Price_Max,Pets_Allowed,List_Date,Update_Date,House_or_Apt,URL
0,11037 E Rural Retreat Ct,Orlando,,2.0,6.0,,2.5,6.0,,905.0,1125.0,Cat/Dog,2021-09-16T23:39:33Z,2022-05-20T20:21:00Z,apartment,https://www.realtor.com/realestateandhomes-detail/11037-E-Rural-Retreat-Ct_Orlando_FL_32817_M97801-98792
1,12024 Royal Wulff Ln,Orlando,,4.0,4.0,,2.5,3.5,,610.0,620.0,,2021-09-16T23:39:33Z,2022-05-13T14:17:13Z,apartment,https://www.realtor.com/realestateandhomes-detail/12024-Royal-Wulff-Ln_Orlando_FL_32817_M56182-00322
2,3100 Alafaya Club Dr,Orlando,,3.0,4.0,,3.0,4.0,,885.0,945.0,,2021-09-16T23:39:33Z,2022-05-27T02:19:01Z,apartment,https://www.realtor.com/realestateandhomes-detail/3100-Alafaya-Club-Dr_Orlando_FL_32817_M62947-51372
3,12024 Royal Wulff Lane at Alafaya Xing Unit Campus,Orlando,4.0,,,3.0,,,624.0,,,,2022-05-23T16:04:04Z,2022-05-23T16:04:04Z,townhomes,https://www.realtor.com/realestateandhomes-detail/12024-Royal-Wulff-Lane-at-Alafaya-Xing-Unit-Campus_Orlando_FL_32817_M96580-57993
4,5600 Silver Star Orlando Rd # 532,Orlando,3.0,,,2.0,,,995.0,,,,,2022-05-30T12:11:29Z,apartment,https://www.realtor.com/realestateandhomes-detail/5600-Silver-Star-Rd-532_Orlando_FL_32808_M97582-09445
5,3303 Arden Villas Blvd,Orlando,,0.0,3.0,,1.0,3.0,,780.0,1285.0,,2021-12-13T14:17:54Z,2022-05-30T14:16:40Z,apartment,https://www.realtor.com/realestateandhomes-detail/3303-Arden-Villas-Blvd_Orlando_FL_32817_M59706-56931
6,10237 Eastern Lake Ave,Orlando,,1.0,4.0,,1.0,2.0,,849.0,1329.0,Non aggressive breeds only. $500 fee for two pets. $40 pet rent for two pets./Non aggressive breeds only. Pet fee for two pets is $500. $40 pet rent for two pets.,2021-09-16T23:39:33Z,2022-03-03T02:16:27Z,apartment,https://www.realtor.com/realestateandhomes-detail/10237-Eastern-Lake-Ave_Orlando_FL_32817_M50799-66144
7,10200 University Blvd,Orlando,,4.0,4.0,,4.0,4.0,,859.0,859.0,,2021-09-16T23:39:33Z,2022-05-26T02:17:35Z,apartment,https://www.realtor.com/realestateandhomes-detail/10200-University-Blvd_Orlando_FL_32817_M59610-82302
8,1805 Loftway Cir,Orlando,,4.0,4.0,,2.0,2.0,,795.0,865.0,,2021-09-16T23:39:33Z,2022-05-24T08:16:33Z,apartment,https://www.realtor.com/realestateandhomes-detail/1805-Loftway-Cir_Orlando_FL_32826_M60731-89660
9,5590 Baldwin Park St,Orlando,,0.0,3.0,,1.0,2.0,,1070.0,1700.0,It is $350 for 1 pet or $500 for 2 pets,2021-09-16T23:39:33Z,2022-03-15T08:16:29Z,apartment,https://www.realtor.com/realestateandhomes-detail/5590-Baldwin-Park-St_Orlando_FL_32807_M67426-54341
10,5755 Stoneridge Ct,Orlando,,0.0,3.0,,1.0,2.0,,1050.0,1805.0,,2021-09-16T23:39:33Z,2022-03-30T20:18:09Z,apartment,https://www.realtor.com/realestateandhomes-detail/5755-Stoneridge-Ct_Orlando_FL_32839_M55885-82151
11,11012 Hub Plz,Orlando,,2.0,4.0,,2.0,4.0,,895.0,1070.0,,2022-03-17T02:16:26Z,2022-04-01T20:17:59Z,apartment,https://www.realtor.com/realestateandhomes-detail/11012-Hub-Plz_Orlando_FL_32826_M97319-52730
12,9010 Running Bull Rd,Orlando,,1.0,4.0,,1.0,4.0,,999.0,1799.0,,2021-09-16T23:39:33Z,2022-04-27T08:17:46Z,apartment,https://www.realtor.com/realestateandhomes-detail/9010-Running-Bull-Rd_Orlando_FL_32825_M96740-47499
13,5900 Park Hamilton Rd,Orlando,,0.0,3.0,,1.0,2.0,,1075.0,1675.0,$300 0-25 lbs. or $500 26-50 lbs. Pet fee is per pet. $30 Pet Rent per pet per month.,2021-09-16T23:39:33Z,2022-03-31T20:17:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/5900-Park-Hamilton-Blvd_Orlando_FL_32808_M64299-50806
14,720 S Conway Rd,Orlando,,0.0,3.0,,1.0,2.0,,1125.0,1810.0,,2021-09-16T23:39:33Z,2022-05-10T02:16:36Z,apartment,https://www.realtor.com/realestateandhomes-detail/720-Conway-Rd_Orlando_FL_32807_M60064-18295
15,5496 Fitness Cir,Orlando,,0.0,3.0,,1.0,2.0,,1185.0,1939.0,$150 fee for the second pet,2021-09-16T23:39:33Z,2022-05-24T20:16:43Z,apartment,https://www.realtor.com/realestateandhomes-detail/5496-Fitness-Cir_Orlando_FL_32839_M56443-22097
16,5600 Silver Star Orlando Rd # 526,Orlando,3.0,,,2.0,,,995.0,,,,,2022-05-21T01:17:23Z,apartment,https://www.realtor.com/realestateandhomes-detail/5600-Silver-Star-Rd-526_Orlando_FL_32808_M92404-41110
17,11841 Jefferson Commons Cir,Orlando,,1.0,4.0,,1.0,4.0,,814.0,1309.0,,2021-09-16T23:39:33Z,2022-05-27T08:16:51Z,apartment,https://www.realtor.com/realestateandhomes-detail/11841-Jefferson-Commons-Cir_Orlando_FL_32826_M68791-12258
18,8413 Valencia Village Ln,Orlando,,1.0,4.0,,1.0,3.0,,1146.0,1859.0,Pets Allowed. Our homes accommodate up to two pets per apartment with a maximum weight limit of 30 lbs. Please call the leasing office for pet deposit/fees. Renters Insurance Required.,2021-09-16T23:39:33Z,2022-05-26T08:16:53Z,apartment,https://www.realtor.com/realestateandhomes-detail/8413-Valencia-Village-Ln_Orlando_FL_32825_M67033-06887
19,5402 Pine Chase Dr,Orlando,,2.0,3.0,,2.0,2.0,,1075.0,1175.0,,2021-09-16T23:39:33Z,2022-01-04T14:18:42Z,apartment,https://www.realtor.com/realestateandhomes-detail/5402-Pine-Chase-Dr_Orlando_FL_32808_M67961-56925
20,4793 N Pine Hills Rd,Orlando,,2.0,3.0,,2.0,2.0,,1115.0,1355.0,,2021-09-16T23:39:33Z,2022-05-13T08:17:56Z,apartment,https://www.realtor.com/realestateandhomes-detail/4793-N-Pine-Hills-Rd_Orlando_FL_32808_M57913-97659
21,4500 Silver Star Rd,Orlando,,1.0,3.0,,1.0,2.0,,1039.0,1319.0,,2021-09-16T23:39:33Z,2022-05-20T20:21:00Z,apartment,https://www.realtor.com/realestateandhomes-detail/4500-Silver-Star-Rd_Orlando_FL_32808_M55620-86066
22,7120 Forest City Rd,Orlando,,1.0,3.0,,1.0,2.0,,1250.0,1750.0,,2021-09-16T23:39:33Z,2022-04-29T14:16:44Z,apartment,https://www.realtor.com/realestateandhomes-detail/7120-Forest-City-Rd_Orlando_FL_32810_M65145-73538
23,3024 S Rio Grande Ave,Orlando,,1.0,3.0,,1.0,2.0,,1059.0,1279.0,,2021-09-16T23:39:33Z,2022-05-20T20:21:00Z,apartment,https://www.realtor.com/realestateandhomes-detail/3024-S-Rio-Grande-Ave_Orlando_FL_32805_M55323-10578
24,1051 Lee Rd,Orlando,,1.0,3.0,,1.0,2.0,,847.0,1100.0,pet fee is per pet,2021-09-16T23:39:33Z,2022-05-03T02:17:00Z,apartment,https://www.realtor.com/realestateandhomes-detail/1051-Lee-Rd_Orlando_FL_32810_M61292-82669
25,701 S Ivey Ln,Orlando,,1.0,3.0,,1.0,1.0,,1079.0,1279.0,,2021-09-16T23:39:33Z,2022-05-20T20:21:00Z,apartment,https://www.realtor.com/realestateandhomes-detail/701-S-Ivey-Ln_Orlando_FL_32811_M64814-08559
26,5600 Silver Star Orlando Rd # 327,Orlando,2.0,,,1.0,,,855.0,,,,,2022-05-30T12:11:29Z,apartment,https://www.realtor.com/realestateandhomes-detail/5600-Silver-Star-Rd-327_Orlando_FL_32808_M95865-53100
27,5386 Silver Star Rd,Orlando,,1.0,2.0,,1.0,2.0,,876.0,1045.0,,2022-02-16T20:16:17Z,2022-04-30T08:17:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/5386-Silver-Star-Rd_Orlando_FL_32808_M97578-34933
28,5953 Curry Ford Rd,Orlando,,0.0,3.0,,1.0,2.0,,1135.0,2062.0,,2022-02-01T20:16:59Z,2022-05-26T20:17:13Z,apartment,https://www.realtor.com/realestateandhomes-detail/5953-Curry-Ford-Rd_Orlando_FL_32822_M98839-12824
29,4581 S Kirkman Rd,Orlando,,1.0,3.0,,1.0,2.0,,1400.0,1725.0,Cats & Dogs Welcome!,2022-01-04T02:18:48Z,2022-05-22T20:18:35Z,apartment,https://www.realtor.com/realestateandhomes-detail/4581-S-Kirkman-Rd_Orlando_FL_32811_M55456-89051
30,5975 Lake Pointe Village Cir,Orlando,,2.0,3.0,,2.0,2.5,,1420.0,1775.0,,2021-09-16T23:39:33Z,2022-04-08T08:18:09Z,apartment,https://www.realtor.com/realestateandhomes-detail/5975-Lake-Pointe-Village-Cir_Orlando_FL_32822_M55524-71453
31,5600 Silver Star Rd,Orlando,,1.0,3.0,,1.0,2.0,,995.0,1650.0,,2021-09-16T23:39:33Z,2022-05-10T20:17:51Z,apartment,https://www.realtor.com/realestateandhomes-detail/5600-Silver-Star-Rd_Orlando_FL_32808_M63085-31852
32,4255 Barwood Dr,Orlando,,1.0,3.0,,1.0,2.0,,1350.0,1350.0,,2022-01-13T14:18:53Z,2022-05-28T20:16:57Z,apartment,https://www.realtor.com/realestateandhomes-detail/4255-Barwood-Dr_Orlando_FL_32839_M67887-97865
33,3024 N Powers Dr,Orlando,,1.0,2.0,,1.0,2.0,,945.0,1165.0,,2021-09-16T23:39:33Z,2022-05-12T14:17:22Z,apartment,https://www.realtor.com/realestateandhomes-detail/3024-N-Powers-Dr_Orlando_FL_32818_M57384-21016
34,5337 Esplanade Park Cir,Orlando,,2.0,3.0,,2.0,2.0,,1465.0,1785.0,,2021-09-16T23:39:33Z,2022-05-26T08:16:53Z,apartment,https://www.realtor.com/realestateandhomes-detail/5337-Esplanade-Park-Cir_Orlando_FL_32839_M66387-99540
35,6315 Westgate Dr,Orlando,,1.0,3.0,,1.0,2.0,,1253.0,1905.0,"2 pets max, breed restrictions apply. No weight limit. $350 non-refunable fee for 1 pet, or $500 non-refundable fee for two pets. $20 pet rent per month per pet.",2021-09-16T23:39:33Z,2022-05-27T02:19:01Z,apartment,https://www.realtor.com/realestateandhomes-detail/6315-Westgate-Dr_Orlando_FL_32835_M54107-01903
36,1968 Lake Heritage Cir,Orlando,,1.0,3.0,,1.0,2.0,,1295.0,1860.0,,2021-09-16T23:39:33Z,2022-05-30T14:16:40Z,apartment,https://www.realtor.com/realestateandhomes-detail/1968-Lake-Heritage-Cir_Orlando_FL_32839_M57568-95694
37,1667 W Oak Ridge Rd Apt D,Orlando,3.0,,,2.0,,,1600.0,,,,,2022-05-27T00:37:04Z,apartment,https://www.realtor.com/realestateandhomes-detail/1667-W-Oak-Ridge-Rd-Apt-D_Orlando_FL_32809_M90668-77951
38,1717 Holden Ave,Orlando,,1.0,3.0,,1.0,2.5,,1170.0,1595.0,,2021-09-16T23:39:33Z,2022-03-31T02:18:28Z,apartment,https://www.realtor.com/realestateandhomes-detail/1717-Holden-Ave_Orlando_FL_32839_M65779-19646
39,440 W Oak Ridge Rd,Orlando,,1.0,2.0,,1.0,1.5,,1050.0,1200.0,"Up to 2 pets, $100 per animal",2021-09-16T23:39:33Z,2022-05-02T20:17:14Z,apartment,https://www.realtor.com/realestateandhomes-detail/440-W-Oak-Ridge-Rd_Orlando_FL_32809_M56194-67364
40,4757 Silver Star Rd,Orlando,,1.0,2.0,,1.0,1.0,,1059.0,1179.0,,2021-09-16T23:39:33Z,2022-05-20T20:21:00Z,apartment,https://www.realtor.com/realestateandhomes-detail/4757-Silver-Star-Rd_Orlando_FL_32808_M63527-29260
41,2211 River Park Cir,Orlando,,1.0,3.0,,1.0,2.0,,1320.0,1980.0,,2021-09-16T23:39:33Z,2022-05-13T20:17:17Z,apartment,https://www.realtor.com/realestateandhomes-detail/2211-River-Park-Cir_Orlando_FL_32817_M63134-86205
42,5600 Silver Star Orlando Rd # 430,Orlando,2.0,,,1.0,,,1250.0,,,,,2022-05-21T01:17:23Z,apartment,https://www.realtor.com/realestateandhomes-detail/5600-Silver-Star-Rd-430_Orlando_FL_32808_M97036-88169
43,5826 Pga Blvd,Orlando,,1.0,3.0,,1.0,2.0,,1460.0,2058.0,,2021-09-16T23:39:33Z,2022-05-28T20:16:57Z,apartment,https://www.realtor.com/realestateandhomes-detail/5826-Pga-Blvd_Orlando_FL_32839_M64205-70182
44,1989 Americana Blvd,Orlando,,1.0,3.0,,1.0,2.0,,1065.0,2150.0,,2021-12-15T02:19:23Z,2022-05-29T02:16:59Z,apartment,https://www.realtor.com/realestateandhomes-detail/1989-Americana-Blvd_Orlando_FL_32839_M65944-12869
45,5300 Cinderlane Pkwy,Orlando,,1.0,2.0,,1.0,2.0,,1295.0,1462.0,,2021-09-16T23:39:33Z,2022-05-30T08:18:10Z,apartment,https://www.realtor.com/realestateandhomes-detail/5300-Cinderlane-Pkwy_Orlando_FL_32808_M62154-58191
46,4501 Landing Dr,Orlando,,1.0,2.0,,1.0,2.0,,1170.0,1578.0,Breed Restricitons apply/Breed Restrictions apply,2021-09-16T23:39:33Z,2022-05-30T20:17:25Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr_Orlando_FL_32808_M61781-92249
47,4501 Landing Dr # 4407DW,Orlando,2.0,,,2.0,,,1321.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4407DW_Orlando_FL_32808_M94773-55401
48,4501 Landing Dr # 4419FW,Orlando,2.0,,,2.0,,,1321.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4419FW_Orlando_FL_32808_M96683-76294
49,4501 Landing Dr # 4502ID,Orlando,2.0,,,2.0,,,1321.0,,,,,2022-05-30T12:11:29Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4502ID_Orlando_FL_32808_M92417-18810
50,4501 Landing Dr # 4420AW,Orlando,2.0,,,2.0,,,1331.0,,,,,2022-05-30T12:11:29Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4420AW_Orlando_FL_32808_M95415-56181
51,803 Don Quixote Ave,Orlando,,1.0,3.0,,1.0,2.0,,1454.0,1934.0,We welcome 2 furry friends per home. $300 Pet Fee for the 1st Pet and $450 for 2 Pets.$25/pet rent per pet,2021-11-29T14:15:39Z,2022-05-28T08:17:52Z,apartment,https://www.realtor.com/realestateandhomes-detail/803-Don-Quixote-Ave_Orlando_FL_32807_M55460-55660
52,5600 Silver Star Orlando Rd # 646,Orlando,2.0,,,2.0,,,1350.0,,,,,2022-05-21T01:17:23Z,apartment,https://www.realtor.com/realestateandhomes-detail/5600-Silver-Star-Rd-646_Orlando_FL_32808_M97163-76723
53,4501 Landing Dr # 4509ED,Orlando,2.0,,,2.0,,,1366.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4509ED_Orlando_FL_32808_M96150-96093
54,4501 Landing Dr # 4505ED,Orlando,2.0,,,2.0,,,1366.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4505ED_Orlando_FL_32808_M97029-30575
55,4501 Landing Dr # 4401DW,Orlando,2.0,,,2.0,,,1391.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4401DW_Orlando_FL_32808_M96346-91853
56,4501 Landing Dr # 4503HD,Orlando,2.0,,,2.0,,,1411.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4503HD_Orlando_FL_32808_M90196-70892
57,5800 Auvers Blvd,Orlando,,1.0,3.0,,1.5,2.0,,1475.0,2000.0,,2021-09-16T23:39:33Z,2022-05-30T02:16:45Z,apartment,https://www.realtor.com/realestateandhomes-detail/5800-Auver-Blvd_Orlando_FL_32807_M65769-50731
58,2100 S Conway Rd,Orlando,,1.0,3.0,,1.0,2.0,,1145.0,1649.0,2 pet Max Total deposit for 2 pets $500.00 $25 pet rent/per pet,2021-09-16T23:39:33Z,2022-04-30T02:16:55Z,apartment,https://www.realtor.com/realestateandhomes-detail/2100-Conway-Rd_Orlando_FL_32812_M57013-04138
59,4501 Landing Dr # 4503FD,Orlando,2.0,,,2.0,,,1446.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4503FD_Orlando_FL_32808_M94683-65647
60,4901 Bottlebrush Ln,Orlando,,1.0,2.0,,1.0,2.0,,1400.0,1620.0,Pets are welcomed!,2021-09-16T23:39:33Z,2022-05-30T20:17:25Z,apartment,https://www.realtor.com/realestateandhomes-detail/4901-Bottlebrush-Ln_Orlando_FL_32808_M58168-67233
61,4902 Millenia Blvd,Orlando,,1.0,3.0,,1.0,2.0,,1310.0,2441.0,"Venterra welcomes up to 3 pets. Charges listed are for one pet, please contact the office for additional pet fees./Venterra welcomes up to 3 pets. Charges listed are for one pet, please contact the office for additional pet fees. Breed Restrictions Apply.",2021-10-31T14:13:18Z,2022-05-27T20:18:26Z,apartment,https://www.realtor.com/realestateandhomes-detail/4902-Millenia-Blvd_Orlando_FL_32839_M61759-68885
62,4086 Dijon Dr Unit E,Orlando,3.0,,,2.0,,,1650.0,,,,,2022-05-26T23:02:00Z,condos,https://www.realtor.com/realestateandhomes-detail/4086-Dijon-Dr-E_Orlando_FL_32808_M56143-88404
63,4501 Landing Dr # 4507BD,Orlando,2.0,,,2.0,,,1589.0,,,,,2022-05-30T12:11:29Z,apartment,https://www.realtor.com/realestateandhomes-detail/4501-Landing-Dr-4507BD_Orlando_FL_32808_M93423-22667
64,5175 Cinderlane Pkwy # 1401,Orlando,2.0,,,2.0,,,1610.0,,,,,2022-05-28T01:10:46Z,apartment,https://www.realtor.com/realestateandhomes-detail/5175-Cinderlane-Pkwy-1401_Orlando_FL_32808_M93246-37042
65,4901 Bottlebrush Ln # 715,Orlando,2.0,,,2.0,,,1611.0,,,,,2022-05-25T01:09:49Z,apartment,https://www.realtor.com/realestateandhomes-detail/4901-Bottlebrush-Ln-715_Orlando_FL_32808_M97802-69303
